id,name,city,region,latitude,longitude,passengers_day,cargo_tons_year,railway_branch,station_class
1,Москва Казанская,Москва,Московская область,55.7747,37.6556,45000,1200000,Казанское направление,1
2,Москва Ярославская,Москва,Московская область,55.7767,37.6558,38000,980000,Ярославское направление,1
3,Москва Курская,Москва,Московская область,55.7577,37.6603,42000,1150000,Курское направление,1
4,Москва Ленинградская,Москва,Московская область,55.7761,37.6553,35000,850000,Ленинградское направление,1
5,Санкт-Петербург Московский,Санкт-Петербург,Ленинградская область,59.9306,30.3619,52000,1450000,Октябрьская ж/д,1
6,Санкт-Петербург Ладожский,Санкт-Петербург,Ленинградская область,59.9317,30.4397,28000,620000,Октябрьская ж/д,1
7,Казань,Казань,Республика Татарстан,55.7887,49.1012,18000,890000,Горьковская ж/д,1
8,Нижний Новгород,Нижний Новгород,Нижегородская область,56.3224,43.9512,22000,750000,Горьковская ж/д,1
9,Екатеринбург,Екатеринбург,Свердловская область,56.8584,60.6029,25000,1350000,Свердловская ж/д,1
10,Новосибирск-Главный,Новосибирск,Новосибирская область,55.0351,82.8986,23000,1680000,Западно-Сибирская ж/д,1
11,Красноярск,Красноярск,Красноярский край,56.0094,92.8683,15000,920000,Красноярская ж/д,1
12,Иркутск,Иркутск,Иркутская область,52.2869,104.3050,12000,680000,Восточно-Сибирская ж/д,1
13,Владивосток,Владивосток,Приморский край,43.1155,131.8855,8500,950000,Дальневосточная ж/д,1
14,Хабаровск,Хабаровск,Хабаровский край,48.4823,135.0649,9200,720000,Дальневосточная ж/д,1
15,Самара,Самара,Самарская область,53.2024,50.1544,16000,820000,Куйбышевская ж/д,1
16,Ростов-Главный,Ростов-на-Дону,Ростовская область,47.2220,39.7186,14000,680000,Северо-Кавказская ж/д,1
17,Краснодар,Краснодар,Краснодарский край,45.0449,38.9756,11000,540000,Северо-Кавказская ж/д,1
18,Сочи,Сочи,Краснодарский край,43.5943,39.7277,18000,120000,Северо-Кавказская ж/д,2
19,Воронеж,Воронеж,Воронежская область,51.6681,39.1833,9500,450000,Юго-Восточная ж/д,2
20,Волгоград,Волгоград,Волгоградская область,48.7075,44.5172,8800,520000,Приволжская ж/д,2
21,Омск,Омск,Омская область,54.9356,73.3743,11500,890000,Западно-Сибирская ж/д,1
22,Челябинск,Челябинск,Челябинская область,55.1599,61.4026,13500,1120000,Южно-Уральская ж/д,1
23,Уфа,Уфа,Республика Башкортостан,54.7330,55.9472,10200,680000,Куйбышевская ж/д,1
24,Пермь,Пермь,Пермский край,58.0192,56.2468,9800,590000,Свердловская ж/д,2
25,Тюмень,Тюмень,Тюменская область,57.1553,68.4683,8500,720000,Свердловская ж/д,1
26,Саратов,Саратов,Саратовская область,51.5304,46.0305,7200,380000,Приволжская ж/д,2
27,Мурманск,Мурманск,Мурманская область,68.9585,33.0827,5500,1250000,Октябрьская ж/д,1
28,Архангельск,Архангельск,Архангельская область,64.5399,40.5152,4200,420000,Северная ж/д,2
29,Петрозаводск,Петрозаводск,Республика Карелия,61.7889,34.3469,3800,180000,Октябрьская ж/д,2
30,Калининград,Калининград,Калининградская область,54.7104,20.4522,6500,350000,Калининградская ж/д,1
31,Астрахань,Астрахань,Астраханская область,46.3497,48.0408,5100,280000,Приволжская ж/д,2
32,Ульяновск,Ульяновск,Ульяновская область,54.3246,48.3863,4800,220000,Куйбышевская ж/д,2
33,Пенза,Пенза,Пензенская область,53.1948,45.0194,4200,195000,Куйбышевская ж/д,2
34,Тула,Тула,Тульская область,54.2030,37.6180,7800,380000,Московская ж/д,2
35,Рязань,Рязань,Рязанская область,54.6304,39.7451,6500,290000,Московская ж/д,2
36,Ярославль,Ярославль,Ярославская область,57.6261,39.8845,8200,420000,Северная ж/д,1
37,Владимир,Владимир,Владимирская область,56.1291,40.4068,5800,260000,Горьковская ж/д,2
38,Иваново,Иваново,Ивановская область,56.9952,40.9719,3200,120000,Северная ж/д,3
39,Кострома,Кострома,Костромская область,57.7678,40.9269,2800,95000,Северная ж/д,3
40,Вологда,Вологда,Вологодская область,59.2194,39.8914,5500,380000,Северная ж/д,2
41,Смоленск,Смоленск,Смоленская область,54.7828,32.0451,4500,210000,Московская ж/д,2
42,Брянск,Брянск,Брянская область,53.2521,34.3717,5200,340000,Московская ж/д,2
43,Орёл,Орёл,Орловская область,52.9705,36.0645,3800,180000,Московская ж/д,2
44,Курск,Курск,Курская область,51.7306,36.1928,5500,290000,Московская ж/д,2
45,Белгород,Белгород,Белгородская область,50.5969,36.5872,6200,420000,Юго-Восточная ж/д,2
46,Липецк,Липецк,Липецкая область,52.6127,39.5991,4100,380000,Юго-Восточная ж/д,2
47,Тамбов,Тамбов,Тамбовская область,52.7319,41.4533,2900,145000,Юго-Восточная ж/д,3
48,Сыктывкар,Сыктывкар,Республика Коми,61.6689,50.8360,2100,85000,Северная ж/д,3
49,Киров,Киров,Кировская область,58.5966,49.6601,5800,320000,Горьковская ж/д,2
50,Чита,Чита,Забайкальский край,52.0339,113.4994,4500,580000,Забайкальская ж/д,1
